customer_id,ciudad,canal_preferido,edad,fecha_registro
C200000,Valledupar,web,33,2024-03-26
C200001,Pasto,web,46,2024-10-20
C200002,Valledupar,tienda,28,2025-07-14
C200003,Montería,web,34,2025-01-25
C200004,Cartagena,tienda,50,2024-08-01
C200005,Florencia,web,37,2024-07-31
C200006,Popayán,app,30,2025-01-15
C200007,Manizales,web,28,2024-02-27
C200008,Ibagué,tienda,53,2024-09-10
C200009,Cartagena,web,55,2024-02-13
C200010,Valledupar,app,25,2025-03-11
C200011,Santa Marta,web,34,2025-01-13
C200012,Ibagué,web,36,2025-05-22
C200013,Santa Marta,tienda,20,2024-06-12
C200014,Santa Marta,web,45,2024-08-25
C200015,Manizales,app,21,2025-07-07
C200016,Popayán,web,22,2025-01-21
C200017,Pasto,web,37,2024-10-09
C200018,Popayán,web,29,2025-09-04
C200019,Montería,app,29,2025-09-10
C200020,Valledupar,web,26,2024-05-08
C200021,Cartagena,web,46,2025-06-16
C200022,Santa Marta,app,38,2024-05-10
C200023,Barranquilla,app,27,2025-10-27
C200024,Yopal,web,26,2025-04-21
C200025,Valledupar,web,40,2025-04-30
C200026,Sincelejo,app,24,2025-01-29
C200027,Sincelejo,tienda,46,2024-12-29
C200028,Montería,web,34,2024-05-10
C200029,Bucaramanga,tienda,18,2024-10-03
C200030,Santa Marta,web,37,2025-06-29
C200031,Medellín,web,30,2024-12-03
C200032,Santa Marta,app,47,2025-10-23
C200033,Cali,app,50,2025-09-11
C200034,Montería,web,35,2024-09-28
C200035,Villavicencio,web,36,2025-04-27
C200036,Cartagena,app,30,2025-10-01
C200037,Popayán,app,40,2025-05-30
C200038,Manizales,tienda,29,2025-06-16
C200039,Manizales,web,22,2025-09-20
C200040,Valledupar,web,38,2025-02-04
C200041,Cartagena,tienda,37,2024-07-25
C200042,Valledupar,web,37,2025-02-10
C200043,Cartagena,web,41,2024-12-19
C200044,Bucaramanga,web,46,2025-06-30
C200045,Barranquilla,web,33,2025-05-21
C200046,Florencia,web,32,2024-03-23
C200047,Yopal,callcenter,39,2025-03-01
C200048,Ibagué,app,45,2025-09-27
C200049,Ibagué,tienda,55,2025-05-22
C200050,Medellín,app,20,2025-03-12
C200051,Tunja,app,32,2025-04-09
C200052,Ibagué,web,34,2024-03-29
C200053,Ibagué,tienda,31,2024-11-29
C200054,Medellín,app,39,2025-09-13
C200055,Barranquilla,web,43,2025-09-23
C200056,Neiva,web,33,2025-03-07
C200057,Pasto,web,33,2024-02-04
C200058,Popayán,web,38,2025-10-22
C200059,Barranquilla,web,48,2024-10-02
C200060,Bucaramanga,web,52,2024-07-19
C200061,Bogotá,tienda,34,2024-11-19
C200062,Valledupar,tienda,23,2025-10-20
C200063,Pereira,tienda,33,2025-08-27
C200064,Neiva,web,34,2025-05-19
C200065,Popayán,app,41,2024-05-11
C200066,Popayán,app,31,2024-03-16
C200067,Manizales,web,29,2025-05-06
C200068,Santa Marta,callcenter,49,2025-08-06
C200069,Pasto,app,41,2024-09-18
C200070,Santa Marta,tienda,43,2025-04-11
C200071,Medellín,web,37,2025-03-24
C200072,Cali,web,57,2024-05-21
C200073,Yopal,app,29,2025-10-14
C200074,Ibagué,app,37,2025-08-24
C200075,Valledupar,web,37,2024-11-13
C200076,Medellín,web,29,2025-06-12
C200077,Pereira,web,43,2025-07-24
C200078,Neiva,app,34,2025-05-08
C200079,Pereira,callcenter,45,2024-11-28
C200080,Medellín,tienda,31,2024-01-19
C200081,Sincelejo,web,23,2025-03-31
