tienda_id,sku,stock,fecha_stock
S1075,SKU100674,15,2024-09-08
S1046,SKU100114,26,2025-10-17
S1036,SKU100732,16,2024-10-23
S1111,SKU100148,22,2024-04-05
S1045,SKU100076,26,2024-07-26
S1049,SKU100187,18,2025-06-30
S1004,SKU100312,16,2024-07-13
S1016,SKU100046,12,2025-10-21
S1072,SKU100167,13,2024-11-17
S1064,SKU100544,18,2024-03-17
S1055,SKU100115,15,2024-05-13
S1072,SKU100750,27,2024-03-18
S1124,SKU100523,22,2025-07-15
S1145,SKU100791,21,2025-08-21
S1028,SKU100092,20,2025-05-06
S1120,SKU100629,16,2025-07-29
S1114,SKU100157,18,2025-07-02
S1104,SKU100602,20,2025-08-24
S1071,SKU100589,17,2024-09-01
S1134,SKU100098,22,2024-10-13
S1041,SKU100526,12,2024-03-12
S1050,SKU100113,14,2025-01-09
S1140,SKU100020,20,2024-06-29
S1014,SKU100224,22,2025-01-12
S1110,SKU100432,18,2025-04-23
S1104,SKU100021,23,2024-06-07
S1043,SKU100723,22,2025-02-24
S1000,SKU100063,18,2024-09-05
S1001,SKU100356,23,2024-03-02
S1050,SKU100765,20,2024-06-15
S1041,SKU100552,17,2025-05-24
S1086,SKU100198,16,2024-08-04
S1139,SKU100405,20,2025-03-24
S1048,SKU100098,30,2025-03-22
S1000,SKU100329,20,2024-09-03
S1011,SKU100334,30,2025-10-30
S1045,SKU100276,12,2024-04-02
S1062,SKU100542,14,2025-04-02
S1060,SKU100563,13,2024-01-08
S1000,SKU100363,11,2024-12-25
S1141,SKU100705,13,2024-12-15
S1041,SKU100427,19,2025-02-17
S1043,SKU100675,20,2025-02-28
S1144,SKU100785,15,2025-10-16
S1015,SKU100061,13,2024-11-28
S1115,SKU100407,20,2025-10-10
S1136,SKU100714,24,2025-06-15
S1110,SKU100167,24,2025-02-23
S1117,SKU100774,26,2025-09-19
S1111,SKU100249,21,2024-01-13
S1058,SKU100181,21,2025-06-13
S1142,SKU100211,17,2024-01-08
S1128,SKU100624,15,2025-03-01
S1098,SKU100689,25,2024-02-29
S1052,SKU100219,15,2024-11-09
S1123,SKU100417,22,2025-09-18
S1021,SKU100517,19,2025-10-25
S1086,SKU100650,18,2025-07-09
S1029,SKU100646,17,2024-04-13
S1138,SKU100768,21,2025-03-22
S1103,SKU100181,20,2025-03-10
S1101,SKU100465,14,2024-07-30
S1026,SKU100253,19,2024-08-14
S1111,SKU100565,18,2025-05-24
S1078,SKU100795,21,2024-05-15
S1027,SKU100000,21,2025-04-16
S1019,SKU100194,22,2025-02-27
S1039,SKU100679,19,2025-02-20
S1129,SKU100160,15,2024-03-18
S1051,SKU100231,23,2025-02-08
S1039,SKU100101,17,2024-10-15
S1138,SKU100520,26,2024-02-24
S1057,SKU100357,19,2024-11-08
S1047,SKU100472,19,2024-11-21
S1016,SKU100541,21,2024-05-21
S1122,SKU100333,14,2024-08-07
S1005,SKU100415,15,2025-06-20
S1123,SKU100504,20,2025-10-01
S1098,SKU100097,20,2024-10-05
S1011,SKU100432,28,2024-07-02
S1094,SKU100595,22,2024-05-24
S1042,SKU100006,20,2024-06-07
S1137,SKU100535,17,2024-02-21
S1025,SKU100669,31,2024-05-14
S1068,SKU100253,13,2025-01-11
S1019,SKU100636,19,2024-01-18
S1032,SKU100478,24,2024-07-26
S1113,SKU100419,17,2024-05-13
S1029,SKU100471,28,2025-02-07
S1128,SKU100711,19,2025-09-28
S1028,SKU100360,21,2024-12-08
S1107,SKU100593,22,2025-05-28
S1136,SKU100658,14,2024-06-01
S1063,SKU100554,25,2025-03-02
S1076,SKU100358,19,2024-06-05
S1127,SKU100182,19,2024-01-09
S1004,SKU100733,23,2024-05-21
S1038,SKU100718,19,2024-12-01
S1100,SKU100385,21,2024-10-27
S1094,SKU100712,24,2024-07-10
S1102,SKU100546,25,2024-10-26
S1098,SKU100782,18,2025-06-04
S1043,SKU100626,14,2024-12-13
S1090,SKU100588,18,2025-05-02
S1024,SKU100141,21,2025-10-13
S1082,SKU100458,21,2025-01-13
S1052,SKU100315,24,2024-08-01
S1129,SKU100607,23,2025-01-14
S1144,SKU100166,24,2025-01-22
S1087,SKU100333,18,2024-10-24
S1057,SKU100616,22,2024-04-08
S1069,SKU100687,15,2025-01-01
S1111,SKU100643,23,2024-05-09
S1002,SKU100782,25,2025-08-06
S1113,SKU100755,21,2025-02-01
S1076,SKU100139,14,2024-10-09
S1148,SKU100622,16,2024-03-17
S1005,SKU100455,24,2024-11-28
S1068,SKU100642,17,2025-06-24
S1121,SKU100146,9,2024-08-03
S1105,SKU100433,18,2025-03-28
S1077,SKU100064,25,2025-04-20
S1112,SKU100587,22,2024-03-06
S1101,SKU100496,22,2025-04-13
S1005,SKU100575,20,2025-09-05
S1000,SKU100566,19,2025-08-10
S1117,SKU100314,19,2025-04-02
S1127,SKU100261,10,2025-02-28
S1143,SKU100360,17,2025-10-11
S1146,SKU100291,14,2025-09-19
S1103,SKU100282,16,2025-02-13
S1019,SKU100521,22,2025-03-29
S1049,SKU100622,27,2025-05-26
S1129,SKU100309,17,2024-12-24
S1028,SKU100420,20,2025-10-13
S1118,SKU100248,23,2025-03-17
S1073,SKU100469,26,2025-03-30
S1132,SKU100645,25,2024-03-22
S1087,SKU100211,23,2024-01-31
S1102,SKU100750,23,2025-02-02
S1148,SKU100549,28,2025-06-17
S1136,SKU100109,17,2024-09-28
S1097,SKU100299,24,2024-06-09
S1149,SKU100546,18,2024-10-23
S1007,SKU100271,13,2025-01-22
S1074,SKU100323,21,2024-12-13
S1002,SKU100619,19,2024-07-21
S1042,SKU100678,11,2025-02-28
S1131,SKU100403,27,2024-04-24
S1002,SKU100334,15,2025-06-19
S1043,SKU100121,20,2025-07-09
S1008,SKU100167,21,2024-03-08
S1102,SKU100142,24,2025-10-13
S1117,SKU100040,15,2024-07-01
S1101,SKU100409,12,2024-09-16
S1074,SKU100566,17,2024-02-28
S1015,SKU100018,21,2024-04-23
S1139,SKU100183,15,2024-09-21
S1069,SKU100547,26,2024-05-12
S1064,SKU100367,25,2025-09-14
S1133,SKU100106,20,2025-05-25
S1056,SKU100000,16,2025-01-13
S1142,SKU100552,23,2024-02-22
S1146,SKU100568,21,2024-05-03
S1048,SKU100681,21,2024-03-01
S1010,SKU100337,21,2025-01-23
S1123,SKU100312,18,2025-04-02
S1138,SKU100564,25,2025-01-19
S1060,SKU100633,25,2025-02-22
S1121,SKU100268,18,2025-10-29
S1027,SKU100566,23,2025-03-25
S1088,SKU100425,18,2025-08-03
S1060,SKU100014,14,2024-06-09
S1038,SKU100457,25,2024-11-30
S1094,SKU100013,27,2024-11-16
S1012,SKU100000,17,2025-01-06
S1054,SKU100047,18,2025-08-27
S1088,SKU100737,17,2025-06-04
S1099,SKU100778,21,2025-02-22
S1103,SKU100104,19,2024-11-12
S1091,SKU100660,17,2025-10-17
S1052,SKU100017,19,2024-11-23
S1091,SKU100396,16,2025-06-18
S1074,SKU100099,20,2025-03-21
S1142,SKU100267,15,2025-05-09
S1144,SKU100196,19,2025-03-03
S1112,SKU100554,14,2024-07-05
S1075,SKU100442,19,2025-08-25
